Epoch,Num trials,Number correct,Time
0,8156,903,38.23506169999018
1,8156,1912,38.21893962100148
2,8156,2797,38.23873745696619
3,8156,3393,38.240815666969866
4,8156,4008,38.24696889985353
5,8156,2792,38.26784620527178
6,8156,2447,38.28435721807182
7,8156,3342,38.278960309922695
8,8156,4374,38.283994319848716
9,8156,4820,38.280172280967236
10,8156,5063,38.28138947300613
11,8156,5216,38.28001464623958
12,8156,5002,38.28095322381705
13,8156,4862,38.275246668141335
14,8156,5372,38.2815929800272
15,8156,5595,38.28072720160708
16,8156,5755,38.27987956395373
17,8156,6173,38.27354234829545
18,8156,5993,38.27808133279905
19,8156,6095,38.27111442293972
20,8156,6364,38.280423652846366
21,8156,6577,38.27873846702278
22,8156,6435,38.27865891577676
23,8156,6098,38.27037468506023
24,8156,6422,38.27782836696133
25,8156,6410,38.27838240284473
26,8156,6544,38.277474692091346
27,8156,6562,38.27617727871984
28,8156,6412,38.28048268193379
29,8156,6611,38.26977090584114
30,8156,6761,38.274164610076696
31,8156,6660,38.51442510494962
32,8156,6385,38.27936239494011
33,8156,6728,38.27574928943068
34,8156,6827,39.945461210329086
35,8156,6234,38.28094562096521
36,8156,6312,38.28252695733681
37,8156,6724,38.284675444010645
38,8156,6775,38.27743968786672
39,8156,6759,38.280415383633226
40,8156,6992,38.28668524697423
41,8156,6799,38.28621207270771
42,8156,6882,38.28249558620155
43,8156,6860,38.284356793854386
44,8156,6977,38.285856139846146
45,8156,6821,38.288011357188225
46,8156,6758,38.287772545125335
47,8156,6720,38.2894546627067
48,8156,6860,38.28162175510079
49,8156,6895,38.28354930412024
