Epoch,Num trials,Number correct,Time
0,8156,880,38.2296348051168
1,8156,2074,38.23205278581008
2,8156,2850,38.23643447691575
3,8156,3154,38.24525386793539
4,8156,3682,38.242350331973284
5,8156,4017,38.24841556977481
6,8156,4114,41.07427510013804
7,8156,4572,38.28281115088612
8,8156,4335,38.250028762966394
9,8156,4753,38.25212086504325
10,8156,5097,38.25209209462628
11,8156,4974,38.257055967114866
12,8156,5195,38.25758249917999
13,8156,5415,38.26118539692834
14,8156,5493,38.44542062282562
15,8156,5503,38.26290180068463
16,8156,5509,38.266594759654254
17,8156,5249,38.269269056618214
18,8156,5502,38.27428825199604
19,8156,5698,38.26943955477327
20,8156,5734,38.2660074736923
21,8156,5785,38.270254734903574
22,8156,5739,38.44451042311266
23,8156,5901,38.26800001785159
24,8156,6303,38.27079069474712
25,8156,6044,38.2810197127983
26,8156,5884,38.266735897399485
27,8156,6374,38.2717195302248
28,8156,6269,38.27527064830065
29,8156,6338,38.27150332694873
30,8156,6482,38.699518368113786
31,8156,6635,38.274146614130586
32,8156,6422,38.26595323905349
33,8156,6229,38.276839275844395
34,8156,6486,38.26942034764215
35,8156,6364,38.26830240478739
36,8156,6592,38.26569901499897
37,8156,6603,38.278156524989754
38,8156,6624,38.497341132257134
39,8156,6357,38.27517511602491
40,8156,6614,38.2714789272286
41,8156,6633,38.2736439127475
42,8156,6756,38.27618477586657
43,8156,6709,38.27625805512071
44,8156,6923,38.27056653285399
45,8156,6993,38.272375269792974
46,8156,6864,38.45292378682643
47,8156,7029,38.27355320332572
48,8156,7200,38.26939860312268
49,8156,6961,38.27952537499368
