Epoch,Num trials,Number correct,Time
0,8156,887,68.63422652403824
1,8156,1878,68.81233631097712
2,8156,2770,68.87620381300803
3,8156,3085,68.88060284999665
4,8156,3922,68.89753649698105
5,8156,4445,68.93405386491213
6,8156,4890,69.03556527500041
7,8156,4840,68.75911938690115
8,8156,4265,68.73749358509667
9,8156,4390,68.71815703506581
10,8156,5016,68.70883809798397
11,8156,4957,68.7150251949206
12,8156,5261,68.7187739800429
13,8156,5058,68.71738169295713
14,8156,5727,68.73179473599885
15,8156,6074,68.72627420106437
16,8156,6117,68.72151796205435
17,8156,6193,68.72880603093654
18,8156,6121,68.74189079308417
19,8156,6116,68.74263601691928
20,8156,6205,68.7401227200171
21,8156,6335,68.74488439201377
22,8156,6471,68.74563423206564
23,8156,6407,68.76012253400404
24,8156,6787,68.75438348099124
25,8156,6723,68.76164963899646
26,8156,6692,68.75957366696093
27,8156,6476,68.7559798170114
28,8156,6787,68.75905119802337
29,8156,6725,68.76940511597786
30,8156,6833,68.7586207150016
31,8156,6651,68.76212436601054
32,8156,6097,68.7588259120239
33,8156,6860,68.75559883494861
34,8156,7058,68.76725976692978
35,8156,6973,68.77156953001395
36,8156,6898,68.76253441500012
37,8156,6786,68.77038565697148
38,8156,6871,68.77816744509619
39,8156,7195,68.77603695297148
40,8156,7164,68.77939435804728
41,8156,6693,68.77722911199089
42,8156,6946,68.76701433595736
43,8156,6890,68.76718552992679
44,8156,6973,68.76696487795562
45,8156,7151,68.76584543206263
46,8156,7052,68.7695908290334
47,8156,6970,68.77211666689254
48,8156,6936,68.76681956497487
49,8156,7195,68.76907883305103
