Epoch,Num trials,Number correct,Time
0,8156,925,68.57650370895863
1,8156,1664,68.81527187908068
2,8156,2479,68.82164400804322
3,8156,2661,68.8415199770825
4,8156,3272,68.82156675402075
5,8156,3261,68.86075374798384
6,8156,3314,68.8537813819712
7,8156,2803,68.82653592899442
8,8156,3016,68.81866541993804
9,8156,3502,68.81054856604896
10,8156,3805,68.82275356689934
11,8156,4198,68.8170256849844
12,8156,4045,69.12172250403091
13,8156,3994,69.03007673204411
14,8156,4042,68.9868039219873
15,8156,3592,68.82902613002807
16,8156,3367,68.92188266594894
17,8156,3534,68.79890608997084
18,8156,3753,68.78435943694785
19,8156,3811,68.77508754504379
20,8156,3933,68.78029163996689
21,8156,3971,68.78338381100912
22,8156,4078,68.77041464904323
23,8156,3980,68.76965598901734
24,8156,4056,68.76672847301234
25,8156,4173,68.75848187308293
26,8156,4390,68.7534530730918
27,8156,4015,68.81816450494807
28,8156,4097,68.84090461791493
29,8156,3636,68.83676977001596
30,8156,3657,68.74966226704419
31,8156,4411,68.79416492197197
32,8156,4359,68.72763959900476
33,8156,4023,68.77751957101282
34,8156,3635,68.74247783294413
35,8156,4137,68.71964490995742
36,8156,4204,68.71410354797263
37,8156,4240,68.74363911396358
38,8156,4599,68.79890831490047
39,8156,4357,68.82031277194619
40,8156,4444,68.7150114380056
41,8156,4480,68.72274623601697
42,8156,3840,68.72308723907918
43,8156,4318,68.73216217500158
44,8156,4285,68.73694524099119
