Epoch,Num trials,Number correct,Time
0,8156,867,68.4923971160315
1,8156,1667,68.74966749094892
2,8156,2389,68.78704092802946
3,8156,2953,68.78030330094043
4,8156,3054,68.80648377700709
5,8156,3666,68.82489999500103
6,8156,3623,68.83810755203012
7,8156,4304,68.8549163780408
8,8156,4457,68.86379712598864
9,8156,4630,68.8741209859727
10,8156,4959,68.87493106699549
11,8156,5342,68.89482089795638
12,8156,5184,68.8894747570157
13,8156,5176,68.89717337395996
14,8156,5430,68.8946600049967
15,8156,5783,68.90089853003155
16,8156,5737,68.93403141398448
17,8156,5938,68.9031805449631
18,8156,5903,68.90882214903831
19,8156,6243,68.91170680697542
20,8156,6371,68.9153869090369
21,8156,6528,68.91602363507263
22,8156,6543,68.91858353896532
23,8156,6284,68.91975173191167
24,8156,6239,68.91612020810135
25,8156,6311,68.91517100401688
26,8156,6678,68.9169578969013
27,8156,6843,68.92033573600929
28,8156,6835,68.9207393390825
29,8156,6785,68.92342103796545
30,8156,6895,68.92116975609679
31,8156,6724,68.91845934500452
32,8156,6773,68.92366947396658
33,8156,6710,68.90783154102974
34,8156,7006,68.90562620596029
35,8156,6906,68.91179468401242
36,8156,6986,68.91897941497155
37,8156,7118,68.91948022600263
38,8156,7205,68.92178543494083
39,8156,7207,68.922298177029
40,8156,6846,68.91554586298298
41,8156,7088,68.9094038400799
42,8156,7196,68.91466871602461
43,8156,7184,68.9104700620519
44,8156,7174,68.91722574003506
45,8156,7263,68.92194596200716
46,8156,7453,68.92342677002307
47,8156,7186,68.92127256502863
48,8156,7044,68.9200146329822
49,8156,7041,68.92732257593889
