Epoch,Num trials,Number correct,Time
0,8156,809,68.56108710903209
1,8156,1629,68.89555631391704
2,8156,2276,68.94399416795932
3,8156,2622,68.99763201409951
4,8156,2282,68.8735042050248
5,8156,2594,68.87779600999784
6,8156,2827,68.85437519289553
7,8156,2950,68.84945961204357
8,8156,3324,68.86100674292538
9,8156,3821,68.86160453199409
10,8156,3923,68.8607597759692
11,8156,4499,68.86478683107998
12,8156,4751,68.87589900300372
13,8156,5048,68.90280464407988
14,8156,5004,68.89844626898412
15,8156,5287,68.87746282096487
16,8156,5474,68.88277960906271
17,8156,5444,68.88622784300242
18,8156,5412,68.87586982594803
19,8156,5371,68.89831498498097
20,8156,5443,68.87984958093148
21,8156,5699,68.88957241200842
22,8156,5835,68.92239827197045
23,8156,5947,68.87130095495377
24,8156,6205,68.8868497229414
25,8156,6298,68.89783342706505
26,8156,6205,68.90443560096901
27,8156,6133,68.8876431779936
28,8156,6247,68.86898952699266
29,8156,6484,68.89187731698621
30,8156,6155,68.89939668599982
31,8156,6084,68.87778572004754
32,8156,6440,68.86980697303079
33,8156,6516,68.89854363293853
34,8156,6720,68.88045536295976
35,8156,6662,68.87919858493842
36,8156,6478,68.88619679491967
37,8156,6488,68.88690902700182
38,8156,6662,68.88743431295734
39,8156,6553,68.88854870700743
40,8156,6696,68.88274323998485
41,8156,6744,68.89404222695157
42,8156,6637,68.88864667294547
43,8156,6891,68.89087118499447
44,8156,6774,68.88987388997339
45,8156,7038,68.88714742800221
46,8156,7032,68.88992910203524
47,8156,7041,68.9022263350198
48,8156,6819,68.89244549989235
49,8156,6788,68.88989243400283
