Epoch,Num trials,Number correct,Time
0,8156,859,68.8923891329905
1,8156,1674,69.15066370199202
2,8156,2493,69.27573172200937
3,8156,3301,69.32597138900019
4,8156,3732,69.37196819399833
5,8156,4070,69.40817372500896
6,8156,4255,69.38681508001173
7,8156,4349,69.37388370500412
8,8156,4761,69.39236002400867
9,8156,4940,69.40297553200799
10,8156,4241,69.4162752609991
11,8156,4478,69.40737320600601
12,8156,5183,69.41225313700852
13,8156,4954,69.4046310029953
14,8156,5326,69.40890482399845
15,8156,5522,69.41858117400261
16,8156,5477,69.40285203700478
17,8156,5628,69.41702942900883
18,8156,5847,69.45251023500168
19,8156,5922,69.44582200200239
20,8156,5812,69.4194914999971
21,8156,6126,69.42672835799749
22,8156,6505,69.42112331400858
23,8156,6368,69.43595926699345
24,8156,6184,69.44404723399202
25,8156,6206,69.4427062409959
26,8156,6224,69.44608307701128
27,8156,6352,69.41898583700822
28,8156,6306,69.44812689301034
29,8156,6349,69.49354217300424
30,8156,6594,69.64603419299237
31,8156,6295,69.5944577120099
32,8156,6688,69.93817476200638
33,8156,6792,70.15382077499817
34,8156,6776,70.09701578300155
35,8156,6794,70.04891244199825
36,8156,6850,70.13724191300571
37,8156,6804,70.03837514900079
38,8156,6825,69.57109744699846
39,8156,6799,69.48301784999785
40,8156,6711,69.46167638299812
41,8156,6836,69.4517193930078
42,8156,6960,69.45316573401215
43,8156,6976,69.45111602899851
44,8156,7005,69.4667166369909
45,8156,6868,69.4562878190045
46,8156,6901,69.45906481699785
47,8156,6914,69.43349676798971
48,8156,6947,69.45144705999701
49,8156,7029,69.45617837899772
