Epoch,Num trials,Number correct,Time
0,8156,973,69.65621042111889
1,8156,2055,69.75094257108867
2,8156,2905,69.66988813690841
3,8156,3441,69.66498669190332
4,8156,3829,69.84147518198006
5,8156,3159,69.69149279408157
6,8156,2864,69.67592404293828
7,8156,3530,69.6506229750812
8,8156,3763,69.63754989509471
9,8156,4436,69.82062657107599
10,8156,4736,69.66143085085787
11,8156,4374,69.66874156799167
12,8156,4702,69.67420646594837
13,8156,4693,69.8602256809827
14,8156,5222,69.70152635197155
15,8156,5649,69.70714949583635
16,8156,5519,69.71005352702923
17,8156,5461,69.7418267109897
18,8156,5407,69.85024388600141
19,8156,5550,69.70382575993426
20,8156,5909,69.70938012609258
21,8156,6026,69.7119831731543
22,8156,6004,69.88211970194243
23,8156,6405,69.73522265185602
24,8156,6427,69.73005710798316
25,8156,6615,69.73742012283765
26,8156,6466,69.79909939086065
27,8156,6502,69.87557254801504
28,8156,6281,69.72958140796982
29,8156,6556,69.73022446408868
30,8156,6726,69.73967148992233
31,8156,6625,69.89612808497623
32,8156,6728,69.73488607001491
33,8156,6783,69.73799237888306
34,8156,6894,69.73860144405626
35,8156,6851,69.89736369997263
36,8156,7013,69.7405438318383
37,8156,6989,69.74997666990384
38,8156,7226,69.74992225598544
39,8156,6780,69.74432136095129
40,8156,6799,69.9132532030344
41,8156,7066,69.73883290309459
42,8156,7213,69.7481081429869
43,8156,7126,69.75063909194432
44,8156,7212,69.91688837204129
45,8156,7234,69.75874756812118
46,8156,7144,69.75224299915135
47,8156,7058,69.74925654102117
48,8156,7068,69.76974372984841
49,8156,7150,69.88120961911045
