Epoch,Num trials,Number correct,Time
0,8156,890,69.28634226300346
1,8156,1980,69.75517423498968
2,8156,2737,69.86793092699372
3,8156,3381,69.80381061299704
4,8156,3400,69.94419926599949
5,8156,3844,70.00992080499418
6,8156,4034,69.83964797799126
7,8156,3883,69.9275444750092
8,8156,3855,69.83979930299392
9,8156,4540,69.9579552590003
10,8156,4451,69.83179233700503
11,8156,4473,69.87084836899885
12,8156,4882,69.76680580100219
13,8156,5515,69.91466875799233
14,8156,5678,69.91133779600204
15,8156,5036,69.85447597500752
16,8156,5116,69.83157921400561
17,8156,5403,69.84563214999798
18,8156,5829,69.98742197999672
19,8156,5925,69.85912963599549
20,8156,5960,69.84301021799911
21,8156,6115,69.76811951800482
22,8156,6112,69.97253837100288
23,8156,6256,69.81667931099946
24,8156,6189,69.8620924190036
25,8156,6291,69.76992699599941
26,8156,6501,69.83183839901176
27,8156,6497,69.97096077300375
28,8156,6507,69.80904801000725
29,8156,6544,70.01747978299682
30,8156,6625,69.87508677100413
31,8156,6547,70.0887933329941
32,8156,6739,70.14284444499935
33,8156,6625,70.15505041500728
34,8156,6442,70.10363592099748
35,8156,6733,70.22079507500166
36,8156,6695,70.23935006700049
37,8156,6902,70.11509508799645
38,8156,6989,69.98960717901355
39,8156,7136,69.88439960300457
40,8156,7026,69.98242152199964
41,8156,6766,69.91523349900672
42,8156,6976,69.85796641200432
43,8156,7112,69.81145072300569
44,8156,7067,69.97178668700508
45,8156,7062,69.92158071200538
46,8156,6886,69.82681688599405
47,8156,6771,69.82666284700099
48,8156,7104,69.82696542800113
49,8156,7122,69.93397652299609
