,surrogate_gradient,quant_level,quant_algo,seed,num_error_transitions
0,triangle,3.0,Linear,1234,1.2621908166273585
1,triangle,2.0,Log,1234,1.002978884139151
2,boxcar,4.0,Log,1234,3.2363900353773585
3,boxcar,3.0,Linear,1234,1.2160274174528303
4,boxcar,4.0,Linear,1234,1.7293932414504718
5,boxcar,10.0,Linear,1234,3.1515302550117923
6,triangle,7.0,Linear,1234,3.205221845518868
7,triangle,5.0,Linear,1234,3.0623612544221697
8,triangle,1.0,Log,1234,0.15285395784198114
9,boxcar,8.0,Linear,1234,2.859271447523585
10,boxcar,9.0,Linear,1234,3.009991524174528
11,triangle,1.0,Linear,1234,0.18374889445754716
12,triangle,,Linear,1234,78.7333713517099
13,boxcar,3.0,Log,1234,2.70754108932783
14,triangle,4.0,Linear,1234,1.6372475678066039
15,boxcar,,Linear,1234,78.69774395636793
16,triangle,2.0,Linear,1234,0.6863041715801886
17,boxcar,5.0,Log,1234,4.461794663915095
18,boxcar,1.0,Linear,1234,0.15430166568396225
19,boxcar,7.0,Linear,1234,2.7618873452240567
20,triangle,8.0,Linear,1234,3.0905205262382074
21,triangle,10.0,Linear,1234,3.3267673938679247
22,triangle,5.0,Log,1234,4.549043521521226
23,triangle,4.0,Log,1234,3.284303508254717
24,boxcar,6.0,Linear,1234,3.133952314268868
25,boxcar,1.0,Log,1234,0.14041292010613207
26,triangle,3.0,Log,1234,2.9949017909787736
27,triangle,6.0,Linear,1234,3.5028834389740564
28,boxcar,2.0,Log,1234,1.017295658903302
29,boxcar,5.0,Linear,1234,3.032435141509434
30,boxcar,2.0,Linear,1234,0.499248046875
31,triangle,9.0,Linear,1234,3.170455114976415
